h(cm),10,15,20,25,30,35,40,45,50,55,60,65,70
t1,138,179,198,229,242,262,280,297,321,331,355,365,373
t2,143,169,200,220,251,263,290,297,316,333,350,360,373
t3,137,169,206,221,243,269,283,301,324,330,345,359,373
t4,139,170,198,222,242,268,281,297,315,330,345,370,372
t5,138,174,197,220,243,262,290,298,315,330,345,360,373
t6,138,171,197,222,241,261,290,298,315,338,349,358,374
t7,143,170,198,222,249,263,282,299,315,332,351,360,372
t8,138,171,197,220,243,269,282,305,322,330,345,370,376
t9,146,169,197,220,243,263,287,298,315,331,353,359,374
t10,144,169,197,227,244,269,281,301,314,338,345,361,372