h,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,AVG t
10,138,143,137,139,138,138,143,138,146,144,140.4
15,179,169,169,170,174,171,170,171,169,169,171.1
20,198,200,206,198,197,197,198,197,197,197,198.5
25,229,220,221,222,220,222,222,220,220,227,222.3
30,242,251,243,242,243,241,249,243,243,244,244.1
35,262,263,269,268,262,261,263,269,263,269,264.9
40,280,290,283,281,290,290,282,282,287,281,284.6
45,297,297,301,297,298,298,299,305,298,301,299.1
50,321,316,324,315,315,315,315,322,315,314,317.2
55,331,333,330,330,330,338,332,330,331,338,332.3
60,355,350,345,345,345,349,351,345,353,345,348.3
65,365,360,359,370,360,358,360,370,359,361,362.2
70,373,373,373,372,373,374,372,376,374,372,373.2