vi,vf,deltaP,J,Eki,Ekf,deltaEk,m
0.327,-0.309,-0.17,-0.14,0.01444,0.01289,-0.00155,0.270
0.370,-0.359,-0.20,-0.15,0.01848,0.01740,-0.00108,
0.259,-0.248,-0.14,-0.15,0.00906,0.00830,-0.00075,
0.364,-0.356,-0.19,-0.15,0.01789,0.01711,-0.00078,
0.308,-0.295,-0.16,-0.14,0.01281,0.01175,-0.00106,
0.393,-0.387,-0.21,-0.17,0.02085,0.02022,-0.00063,
0.503,-0.502,-0.27,-0.24,0.03416,0.03402,-0.00014,
0.476,-0.457,-0.25,-0.27,0.03059,0.02819,-0.00239,
0.313,-0.312,-0.17,-0.16,0.01323,0.01314,-0.00008,
0.440,-0.439,-0.24,-0.22,0.02614,0.02602,-0.00012,
0.332,-0.312,-0.17,-0.20,0.01488,0.01314,-0.00174,